# SNID zHelio x0 x1 c
1 0.051562  0.0004918466490081245 -0.0785 0.4
2 0.015839  0.0062565769767281044 0.077 0.4
3 0.021426  0.003232317825107855 0.034 0.4
4 0.019734  0.0038770033774774325 0.0697 0.4
5 0.052263  0.0004044822817262038 -1.3731 0.4
51 0.025631  0.002201616368029264 0.034 0.4
52 0.016129  0.0055500508965940325 -0.5443 0.4
53 0.030216  0.0014015106746324006 -0.7484 0.4
54 0.036143  0.0009041350301406661 -1.198 0.4
55 0.035282  0.0014992233874809647 2.3279 0.4
56 0.016340  0.00627186164689436 0.6233 0.4
57 0.020435  0.0035201531189019896 -0.0952 0.4
58 0.042251  0.0008202253102483635 0.614 0.4
59 0.026432  0.0018425046021333033 -0.8376 0.4
60 0.024339  0.001909414025616199 -1.9277 0.4
61 0.017962  0.004229720536467103 -0.8343 0.4
62 0.032179  0.0015266734073713837 0.9524 0.4
63 0.033400  0.0011172625993466727 -0.855 0.4
64 0.033771  0.001112349669650376 -0.7078 0.4
65 0.035843  0.0009269060693679452 -1.1418 0.4
66 0.018652  0.004230500366577626 -0.1985 0.4
67 0.014427  0.007489644347487481 -0.1173 0.4
68 0.024249  0.0026840972574100038 0.6519 0.4
69 0.031688  0.0014984435573704416 0.5546 0.4
70 0.033340  0.0010885648512794167 -1.0867 0.4
71 0.025371  0.0018653536243716348 -1.4204 0.4
72 0.021806  0.0025664988767430965 -1.4614 0.4
73 0.021997  0.0031021641796615228 0.1535 0.4
74 0.032259  0.001127166441750318 -1.3595 0.4
75 0.015288  0.0071862124514828814 0.5502 0.4
76 0.019353  0.0045505426439363715 0.9859 0.4
77 0.028194  0.002378949735162253 2.2114 0.4
78 0.027153  0.0018354081481275417 -0.4222 0.4
79 0.024820  0.0022511355800474905 -0.3263 0.4
80 0.025230  0.001925478525892978 -1.2664 0.4
81 0.025260  0.002676142990282667 1.3066 0.4
82 0.025631  0.0021070229756227927 -0.3066 0.4
83 0.016129  0.00642509826361218 0.5911 0.4
84 0.030216  0.0016390469262977851 0.466 0.4
85 0.036143  0.0008660793207471311 -1.5312 0.4
86 0.035282  0.0010697709456158062 -0.2898 0.4
87 0.016340  0.006659359228813368 1.0883 0.4
88 0.020435  0.003545185665449786 -0.0402 0.4
89 0.042251  0.0008830016341454857 1.1859 0.4
90 0.026432  0.001911831498958821 -0.551 0.4
91 0.024339  0.002679574242768969 0.7004 0.4
92 0.017962  0.0052998034141271185 0.9148 0.4
93 0.032179  0.0013579181714541504 0.0438 0.4
94 0.033400  0.0012291682202067603 -0.1149 0.4
95 0.033771  0.0013356150302931851 0.7106 0.4
96 0.035843  0.000839253164945131 -1.9127 0.4
97 0.018652  0.004397929891306969 0.1026 0.4
98 0.014427  0.007134197783110979 -0.4943 0.4
101 0.025631  0.002201616368029264 0.034 0.4
102 0.016129  0.0055500508965940325 -0.5443 0.4
103 0.030216  0.0014015106746324006 -0.7484 0.4
151 0.011334  0.012885132916175802 -0.0785 0.4
152 0.014758  0.007306228305492411 0.077 0.4
153 0.028364  0.0017737235863851519 0.034 0.4
154 0.011784  0.012031218945152836 0.0697 0.4
155 0.015659  0.005321170759155456 -1.3731 0.4
156 0.032569  0.0013532391907910108 0.216 0.4
201 0.011334  0.012885132916175802 -0.0785 0.4
202 0.014758  0.007306228305492411 0.077 0.4
203 0.028364  0.0017737235863851519 0.034 0.4
204 0.011784  0.012031218945152836 0.0697 0.4
205 0.015659  0.005321170759155456 -1.3731 0.4
206 0.032569  0.0013532391907910108 0.216 0.4
207 0.015549  0.008658453717139742 2.2828 0.4
208 0.018743  0.003941495327617707 -0.6662 0.4
251 0.037245  0.0009800904829056316 -0.0785 0.4
252 0.018963  0.0042296425534560506 0.077 0.4
253 0.039247  0.0008898641391180904 0.034 0.4
254 0.078294  0.0002061402914157182 0.0697 0.4
255 0.016180  0.004953870777099001 -1.3731 0.4
256 0.012635  0.010489494816648352 0.216 0.4
257 0.030657  0.002008920347718967 2.2828 0.4
258 0.015859  0.005669130954470933 -0.6662 0.4
259 0.016600  0.005914153575197341 0.4353 0.4
260 0.016920  0.005813789439972999 0.6257 0.4
261 0.022527  0.0025630676242567943 -0.9301 0.4
262 0.037245  0.0009229289358042767 -0.5443 0.4
263 0.018963  0.003802607584933514 -0.7484 0.4
264 0.039247  0.0007591958057988133 -1.198 0.4
265 0.078294  0.00027581811179097133 2.3279 0.4
266 0.016180  0.0064082539332248785 0.6233 0.4
301 0.037245  0.0009800904829056316 -0.0785 0.4
302 0.018963  0.0042296425534560506 0.077 0.4
303 0.039247  0.0008898641391180904 0.034 0.4
304 0.078294  0.0002061402914157182 0.0697 0.4
305 0.016180  0.004953870777099001 -1.3731 0.4
306 0.012635  0.010489494816648352 0.216 0.4
307 0.030657  0.002008920347718967 2.2828 0.4
308 0.015859  0.005669130954470933 -0.6662 0.4
309 0.016600  0.005914153575197341 0.4353 0.4
310 0.016920  0.005813789439972999 0.6257 0.4
351 0.016400  0.005683479828504561 -0.0785 0.4
352 0.051162  0.0005101726566054211 0.077 0.4
353 0.015819  0.006239186765263435 0.034 0.4
354 0.018512  0.004451504219899918 0.0697 0.4
355 0.016400  0.00480968018966325 -1.3731 0.4
356 0.051162  0.0005194058451140164 0.216 0.4
357 0.015819  0.008337943541714682 2.2828 0.4
358 0.018512  0.0040484880187814975 -0.6662 0.4
401 0.066610  0.0002854880051614598 -0.0785 0.4
402 0.131117  6.779297099811845e-05 0.077 0.4
403 0.091510  0.000146888799618161 0.034 0.4
404 0.155387  4.6658795172827614e-05 0.0697 0.4
405 0.168352  3.2448730898872795e-05 -1.3731 0.4
406 0.173408  3.729693469599589e-05 0.216 0.4
407 0.173078  4.889378826958727e-05 2.2828 0.4
408 0.123048  7.07485271170016e-05 -0.6662 0.4
409 0.082299  0.0001942166890258176 0.4353 0.4
410 0.148548  5.534922192449881e-05 0.6257 0.4
411 0.083961  0.00015603620681459883 -0.9301 0.4
412 0.226472  1.8592709495095532e-05 -0.5443 0.4
413 0.105327  9.807923300051025e-05 -0.7484 0.4
414 0.122347  6.688680840969042e-05 -1.198 0.4
415 0.199970  3.563355707024978e-05 2.3279 0.4
416 0.105997  0.00011546164616407368 0.6233 0.4
417 0.208450  2.375128567620689e-05 -0.0952 0.4
418 0.202443  2.7791585478827893e-05 0.614 0.4
419 0.159021  3.94430271601559e-05 -0.8376 0.4
420 0.164397  3.1842023072885695e-05 -1.9277 0.4
421 0.238857  1.5875001559921974e-05 -0.8343 0.4
422 0.229476  2.1888271542166825e-05 0.9524 0.4
423 0.211454  2.0852657155391938e-05 -0.855 0.4
424 0.120435  7.373449661019516e-05 -0.7078 0.4
425 0.222467  1.7922055600045532e-05 -1.1418 0.4
426 0.151782  4.7465139507108665e-05 -0.1985 0.4
427 0.146376  5.194838281250688e-05 -0.1173 0.4
428 0.249199  1.7461176004726284e-05 0.6519 0.4
429 0.122347  8.384733348346077e-05 0.5546 0.4
430 0.217862  1.892257763184687e-05 -1.0867 0.4
431 0.147377  4.326029555116725e-05 -1.4204 0.4
432 0.134361  5.27032583594934e-05 -1.4614 0.4
433 0.212956  2.3373068072603108e-05 0.1535 0.4
434 0.206848  2.0531367149856355e-05 -1.3595 0.4
435 0.046646  0.0006596115006849932 0.5502 0.4
436 0.182489  3.676976954128217e-05 0.9859 0.4
437 0.215459  2.9684233157067843e-05 2.2114 0.4
438 0.176312  3.3106907512154425e-05 -0.4222 0.4
439 0.145375  5.133543634563559e-05 -0.3263 0.4
440 0.180417  2.8210354248178883e-05 -1.2664 0.4
441 0.180417  3.93088963811459e-05 1.3066 0.4
442 0.108550  0.00010997944048709518 0.6452 0.4
443 0.226172  1.6170557171810292e-05 -1.6501 0.4
444 0.120345  7.777557624292669e-05 -0.3066 0.4
445 0.178514  3.848539578443334e-05 0.9593 0.4
446 0.185423  3.08898505079368e-05 -0.0898 0.4
447 0.199720  2.784305426612243e-05 0.3927 0.4
448 0.155687  4.546487527361651e-05 -0.0983 0.4
449 0.251041  1.5508481407976045e-05 -0.1378 0.4
450 0.140569  5.040899817433397e-05 -1.0397 0.4
451 0.209952  1.9179921568319548e-05 -1.6277 0.4
452 0.217461  2.3216322220387934e-05 0.467 0.4
453 0.249500  1.7277915928753318e-05 0.5911 0.4
454 0.200871  2.7747135162528065e-05 0.466 0.4
455 0.225471  1.6535517663535176e-05 -1.5312 0.4
456 0.137665  5.8124637287851086e-05 -0.2898 0.4
457 0.213456  2.6228026107228762e-05 1.0883 0.4
458 0.249500  1.5926470347216513e-05 -0.0402 0.4
459 0.179415  3.91849033935727e-05 1.1859 0.4
460 0.233480  1.733796284726361e-05 -0.551 0.4
461 0.186794  3.364499028841547e-05 0.7004 0.4
462 0.161284  4.792289978198581e-05 0.9148 0.4
