OBS:  52401.270  b NULL   4.4535e+03   1.279e+00    0  36.259    0.85  18.3786 
OBS:  52401.270  c NULL   4.2956e+03   7.988e-01    0  37.346    0.85  18.4177 
OBS:  52401.273  d NULL   4.9140e+03   1.041e+00    0  37.035    0.85  18.2715 
OBS:  52402.301  b NULL   4.9836e+03   1.638e+00    0  35.855    0.85  18.2565 
OBS:  52402.305  c NULL   4.7969e+03   8.956e-01    0  37.197    0.85  18.2977 
OBS:  52402.305  d NULL   5.4638e+03   1.159e+00    0  36.887    0.85  18.1563 
OBS:  52403.293  b NULL   5.4107e+03   1.580e+00    0  35.997    0.85  18.1669 
OBS:  52403.297  c NULL   5.2099e+03   9.738e-01    0  37.089    0.85  18.2078 
OBS:  52403.297  d NULL   5.9069e+03   1.371e+00    0  36.590    0.85  18.0716 
OBS:  52410.180  b NULL   6.0474e+03   1.857e+00    0  35.767    0.85  18.0466 
OBS:  52410.184  c NULL   6.3034e+03   1.456e+00    0  36.401    0.85  18.0009 
OBS:  52410.184  d NULL   7.1033e+03   1.613e+00    0  36.387    0.85  17.8716 
OBS:  52429.246  b NULL   1.2187e+03   5.145e-01    0  37.096    0.85  19.7852 
OBS:  52429.250  c NULL   2.5897e+03   1.129e+00    0  36.249    0.85  18.9671 
OBS:  52429.250  d NULL   3.6304e+03   1.224e+00    0  36.484    0.85  18.6000 
OBS:  52433.246  b NULL   8.5005e+02   2.535e-01    0  38.322    0.85  20.1762 
OBS:  52433.250  c NULL   2.0230e+03   4.602e-01    0  37.959    0.85  19.2350 
OBS:  52433.250  d NULL   3.3492e+03   7.746e-01    0  37.392    0.85  18.6876 
OBS:  52435.234  b NULL   7.2425e+02   2.224e-01    0  38.499    0.85  20.3501 
OBS:  52435.234  c NULL   1.8005e+03   4.630e-01    0  37.867    0.85  19.3617 
OBS:  52435.238  d NULL   3.1757e+03   7.331e-01    0  37.472    0.85  18.7454 
OBS:  52437.180  b NULL   6.2786e+02   5.761e-01    0  36.507    0.85  20.5045 
OBS:  52437.180  c NULL   1.6140e+03   4.225e-01    0  38.000    0.85  19.4803 
OBS:  52437.184  d NULL   2.9815e+03   8.075e-01    0  37.225    0.85  18.8139 
END_PHOTOMETRY: 
