# SN x0 x1 c t0 tpkoff SIM_x0 SIM_x1 SIM_c SIM_t0 SALT2_x0 SALT2_x1 SALT2_c SALT2_t0
1 1.3431358183e-03 -2.3211870060 -0.0797250530 48195.5507810000 0.0000000000 1.6491000000e-03 -2.3498000000 -0.0392000000 48195.55 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
2 2.4963243513e-02 0.0279093203 -0.0565024468 48838.3046880000 0.0000000000 3.2378000000e-02 -0.0684000000 -0.0952000000 48838.30 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
3 1.4694826851e-02 0.4755988799 -0.1113892860 48912.5468750000 0.0000000000 1.9917000000e-02 0.6642000000 -0.1213000000 48912.55 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
4 1.0158363506e-02 -2.1707467824 -0.0949024815 48986.0429690000 0.0000000000 1.2886000000e-02 -2.1987000000 -0.0360000000 48986.04 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
5 1.7879097038e-03 -0.5852570500 -0.1175483634 49134.1679690000 0.0000000000 2.2415000000e-03 -0.6421000000 -0.0796000000 49134.17 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
51 1.8068298236e-02 -0.8948015306 0.0927758629 52200.0742190000 0.0000000000 2.3726000000e-02 -0.8216000000 0.0625000000 52200.07 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
52 2.7562153317e-02 -1.9392832510 -0.1414811654 52224.4101560000 0.0000000000 3.6074000000e-02 -1.9335000000 -0.1336000000 52224.41 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
53 2.1775399404e-02 0.7828422643 -0.0166291034 51974.0039060000 0.0000000000 2.7179000000e-02 1.0252000000 -0.0038000000 51974.00 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
54 4.2245183314e-03 0.1717303513 0.2163888725 52338.3398440000 0.0000000000 5.5294000000e-03 -0.0223000000 0.1624000000 52338.34 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
55 7.4479753579e-03 -0.5296111477 0.2942996787 52357.1015620000 0.0000000000 9.0899000000e-03 -0.4834000000 0.3495000000 52357.10 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
56 4.2161874642e-03 0.2573284105 0.0965252946 52433.9492190000 0.0000000000 5.2472000000e-03 0.4263000000 0.0995000000 52433.95 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
57 9.9156397562e-03 -0.4434296368 -0.0094576091 52451.3007810000 0.0000000000 1.2691000000e-02 -0.4099000000 0.0174000000 52451.30 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
58 2.3581834832e-02 -0.4269666566 0.0847305346 52451.1445310000 0.0000000000 3.1776000000e-02 -0.4239000000 0.0569000000 52451.14 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
59 2.1919332646e-02 -1.2562473812 -0.1400831329 52581.2578120000 0.0000000000 2.8690000000e-02 -1.3099000000 -0.0800000000 52581.26 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
60 6.4525948298e-03 -1.9009955288 -0.0506333242 52586.0546880000 0.0000000000 8.3035000000e-03 -1.8221000000 -0.0660000000 52586.05 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
61 6.1460888021e-03 0.3951559706 -0.0775081510 52592.5859380000 0.0000000000 7.5867000000e-03 0.5152000000 -0.0723000000 52592.59 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
62 2.1058079608e-02 0.2210461262 -0.1400521742 52766.4101560000 0.0000000000 2.6973000000e-02 0.2283000000 -0.0987000000 52766.41 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
63 2.0091940080e-02 1.5435197421 0.0095347842 52807.2617190000 0.0000000000 2.6818000000e-02 1.5432000000 -0.0208000000 52807.26 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
64 1.7379042663e-02 0.6162901835 -0.0406626216 52981.3671880000 0.0000000000 2.2573000000e-02 0.5353000000 -0.0646000000 52981.37 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
65 4.8508137267e-03 -2.1963747135 -0.0443334135 52677.4726560000 0.0000000000 6.3183000000e-03 -2.2041000000 -0.0363000000 52677.47 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
66 8.0181459074e-03 0.2166888785 0.0777642427 52680.4414060000 0.0000000000 1.0201000000e-02 0.1176000000 0.0937000000 52680.44 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
67 3.6835628915e-03 0.2158365285 0.0524537847 53085.9414060000 0.0000000000 4.8848000000e-03 0.2173000000 0.0444000000 53085.94 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
68 9.3551410210e-03 -1.1004667005 -0.0362645160 53326.0078120000 0.0000000000 1.2079000000e-02 -1.1250000000 0.0083000000 53326.01 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
69 1.6295161173e-02 -0.0035098161 -0.0077651970 53534.3125000000 0.0000000000 2.1339000000e-02 0.0065000000 -0.0275000000 53534.31 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
70 2.3869590033e-02 -1.3739143166 -0.1321083758 53646.6210940000 0.0000000000 3.0640000000e-02 -1.3538000000 -0.1479000000 53646.62 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
71 5.9178470568e-03 1.3191947459 0.0311976832 53654.7695310000 0.0000000000 7.7605000000e-03 1.3052000000 -0.0197000000 53654.77 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
72 5.0336031379e-03 1.1769906799 -0.1125521328 53660.6210940000 0.0000000000 6.9166000000e-03 1.1876000000 -0.1181000000 53660.62 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
73 4.1449154705e-03 -1.0674846966 -0.1305576505 53687.7265620000 0.0000000000 5.0733000000e-03 -1.0576000000 -0.0924000000 53687.73 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
74 8.5846893763e-03 -0.2882863322 0.2478011392 53697.9101560000 0.0000000000 1.1279000000e-02 -0.3668000000 0.2369000000 53697.91 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
75 1.1354609953e-02 -1.7436967440 -0.0593120230 53705.3593750000 0.0000000000 1.5255000000e-02 -1.6499000000 -0.0972000000 53705.36 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
76 1.6056008348e-03 -1.5189794204 0.0914664965 53736.2226560000 0.0000000000 2.1680000000e-03 -1.4040000000 0.0557000000 53736.22 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
77 7.1550037810e-03 0.5279428752 -0.0172017877 53744.3164060000 0.0000000000 9.2700000000e-03 0.4466000000 -0.0203000000 53744.32 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
78 6.8235213339e-03 -0.5624603223 -0.0183451638 53781.7382810000 0.0000000000 8.6270000000e-03 -0.7600000000 0.0118000000 53781.74 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
79 1.9518201932e-02 0.2738265078 -0.0395288200 53827.5156250000 0.0000000000 2.5680000000e-02 0.2699000000 -0.0946000000 53827.52 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
80 4.7193521101e-03 -1.3743900390 -0.1529813454 53826.7265620000 0.0000000000 6.0650000000e-03 -1.2866000000 -0.0967000000 53826.73 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
81 2.8782963006e-03 0.1557007175 0.1089463416 53858.4296880000 0.0000000000 3.6665000000e-03 0.2242000000 0.1191000000 53858.43 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
82 1.5091033965e-03 0.3335921732 0.3466801887 53874.0117190000 0.0000000000 1.9949000000e-03 0.4228000000 0.3338000000 53874.01 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
83 9.0810421063e-03 -1.6235789310 0.0593036746 53757.5429690000 0.0000000000 1.1851000000e-02 -1.6756000000 0.0159000000 53757.54 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
84 3.0753452915e-03 0.9241461951 0.0320980620 54013.3398440000 0.0000000000 3.9911000000e-03 0.9196000000 0.0693000000 54013.34 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
85 2.0702408422e-02 1.0151443339 -0.0734678761 54048.5156250000 0.0000000000 2.6930000000e-02 0.9401000000 -0.1099000000 54048.52 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
